ROI Index,Label Name,R,A,S,Label Num,LabName
1,17Networks_LH_VisCent_Striate,-8,-98,-8,1,central visual
2,17Networks_LH_VisCent_ExStr,-32,-88,-6,1,central visual
3,17Networks_LH_VisPeri_StriCal,-8,-78,6,2,peripheral visual
4,17Networks_LH_VisPeri_ExStrInf,-14,-58,-4,2,peripheral visual
5,17Networks_LH_VisPeri_ExStrSup,-8,-82,28,2,peripheral visual
6,17Networks_LH_SomMotA,-20,-30,68,3,somatomotor A
7,17Networks_LH_SomMotB_Cent,-52,-10,34,4,somatomotor B
8,17Networks_LH_SomMotB_S2,-52,-16,16,4,somatomotor B
9,17Networks_LH_SomMotB_Ins,-32,-22,8,4,somatomotor B
10,17Networks_LH_SomMotB_Aud,-52,-20,8,4,somatomotor B
11,17Networks_LH_DorsAttnA_TempOcc,-44,-60,-10,5,dorsal attention A
12,17Networks_LH_DorsAttnA_ParOcc,-42,-80,20,5,dorsal attention A
13,17Networks_LH_DorsAttnA_SPL,-22,-68,54,5,dorsal attention A
14,17Networks_LH_DorsAttnB_TempOcc,-54,-64,8,6,dorsal attention B
15,17Networks_LH_DorsAttnB_PostC,-40,-40,52,6,dorsal attention B
16,17Networks_LH_DorsAttnB_FEF,-26,-6,56,6,dorsal attention B
17,17Networks_LH_DorsAttnB_PrCv,-54,6,38,6,dorsal attention B
18,17Networks_LH_SalVentAttnA_ParOper,-60,-30,26,7,salience / ventral attention A
19,17Networks_LH_SalVentAttnA_FrOper,-52,4,6,7,salience / ventral attention A
20,17Networks_LH_SalVentAttnA_Ins,-38,-2,-4,7,salience / ventral attention A
21,17Networks_LH_SalVentAttnA_ParMed,-16,-32,42,7,salience / ventral attention A
22,17Networks_LH_SalVentAttnA_FrMed,-6,4,46,7,salience / ventral attention A
23,17Networks_LH_SalVentAttnB_IPL,-62,-42,36,8,salience / ventral attention B
24,17Networks_LH_SalVentAttnB_PFCd,-16,8,66,8,salience / ventral attention B
25,17Networks_LH_SalVentAttnB_PFCl,-32,44,28,8,salience / ventral attention B
